Merge Sort - 100,Quick Sort - 100,Merge Sort Async - 100,Quick Sort Async - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort Async - 1000,Quick Sort Async - 1000,Merge Sort - 10000,Quick Sort - 10000,Merge Sort Async - 10000,Quick Sort Async - 10000
223.792µs,98.417µs,216.542µs,76.958µs,298.75µs,46.791µs,91.75µs,99µs,166.666µs,49.5µs,94.792µs,43.667µs
196.958µs,98.292µs,128.917µs,61.375µs,324.708µs,51.042µs,96.833µs,72.041µs,165.625µs,41.917µs,93.5µs,50.583µs
271.583µs,65.833µs,106.417µs,58.5µs,217.5µs,49.416µs,78.25µs,85.5µs,146.75µs,37.25µs,119.625µs,49.791µs
241.125µs,87.292µs,189.292µs,80.417µs,295µs,34.375µs,141.542µs,59.584µs,128.792µs,42.458µs,94.709µs,45.167µs
211.292µs,78.542µs,173.417µs,52.125µs,290.25µs,35.084µs,80.083µs,94.125µs,180.209µs,37.208µs,97.916µs,53.333µs
236.959µs,86.125µs,167.458µs,49.666µs,229.917µs,56.333µs,121.75µs,85.042µs,178.083µs,53.958µs,78.292µs,43.667µs
332.708µs,58.542µs,141.542µs,52.833µs,213.75µs,43.833µs,103.125µs,92.791µs,222.209µs,43.584µs,89.667µs,38.625µs
257.125µs,89.292µs,127.667µs,48.667µs,190.542µs,40.667µs,74.292µs,111.542µs,246.5µs,37.209µs,116.25µs,54µs
245.209µs,75.042µs,141µs,62µs,156.583µs,41.875µs,67.292µs,91.458µs,222.042µs,41.5µs,86.875µs,50.667µs
201.916µs,75.875µs,116.417µs,57.083µs,191.75µs,34.917µs,125.625µs,76.042µs,171.5µs,48.583µs,111.667µs,58.625µs
175.167µs,70.292µs,115.5µs,52µs,152.75µs,36.958µs,131.917µs,72µs,157µs,40.75µs,93.75µs,56.667µs
171.666µs,75.333µs,135.791µs,55.542µs,195.125µs,50.5µs,101.167µs,88.25µs,207.792µs,58.666µs,97.833µs,42.834µs
148.5µs,99.792µs,122.834µs,55.667µs,155.375µs,50.875µs,100.25µs,78.459µs,190.75µs,52.583µs,100.208µs,44.958µs
126.833µs,71.584µs,164.5µs,50.375µs,207.958µs,49.542µs,96.791µs,104.75µs,156.417µs,45.083µs,101.875µs,52.292µs
220.25µs,82.083µs,159.291µs,47.583µs,182.917µs,44.083µs,110.834µs,96.833µs,176.292µs,42.792µs,89.666µs,50.583µs
130.292µs,72µs,107.333µs,61.666µs,150.208µs,44.125µs,115.792µs,98.333µs,144µs,44.667µs,70.417µs,48.042µs
153.333µs,77.209µs,129.667µs,49.25µs,460.333µs,42.208µs,78.708µs,95.542µs,195.459µs,48.25µs,84.875µs,54.125µs
218.875µs,79.917µs,121.875µs,57.167µs,326.375µs,34.875µs,73.5µs,107.292µs,224.417µs,45.125µs,103.75µs,82.416µs
207.125µs,77.416µs,122.125µs,55.5µs,355.5µs,42.083µs,128.583µs,72.417µs,218.709µs,50.417µs,72.625µs,49.5µs
182.709µs,113.041µs,110.708µs,46.834µs,272.375µs,60.209µs,105.458µs,85µs,139.416µs,44.792µs,103.292µs,51.292µs
157.792µs,93.458µs,230.875µs,50.875µs,247.542µs,44.291µs,94.75µs,112µs,172.75µs,47µs,83.083µs,45.375µs
152.792µs,75.083µs,147.25µs,52.167µs,150.5µs,49.25µs,137.708µs,91µs,163.084µs,44.917µs,86.333µs,45.875µs
170.583µs,116.833µs,145.417µs,51.166µs,140.958µs,45.875µs,91.75µs,96.875µs,199.625µs,42.667µs,96.875µs,59.167µs
143.5µs,126.834µs,116.792µs,49.041µs,192.125µs,49.458µs,86.125µs,114.958µs,168.709µs,42.875µs,103.833µs,57.375µs
149.5µs,113.334µs,143.709µs,65.584µs,147.166µs,41.416µs,113.416µs,97.959µs,172.125µs,51.334µs,100.083µs,50.625µs
183.25µs,88.042µs,143.292µs,42.375µs,151.833µs,36.666µs,105.292µs,78.459µs,319.458µs,42.834µs,149.833µs,47.167µs
189.375µs,72.333µs,199.542µs,59.875µs,180.417µs,46.584µs,95.625µs,109.667µs,212.375µs,49.458µs,109.125µs,46.416µs
126.958µs,85.75µs,131.125µs,49.75µs,181.792µs,381.875µs,81.333µs,87.916µs,250.958µs,58.083µs,118.583µs,48.334µs
165.125µs,76.667µs,143.666µs,48.375µs,126.375µs,216.791µs,93.25µs,96.959µs,161.916µs,38.75µs,107.458µs,51.333µs
168.959µs,70.125µs,186.166µs,54.333µs,174.042µs,96.125µs,109.958µs,142.167µs,149.792µs,49.584µs,94.375µs,58.459µs
147.5µs,89.041µs,131.042µs,53.791µs,164.875µs,92.917µs,80.292µs,90.209µs,179.875µs,48.542µs,109.083µs,61.042µs
130.708µs,68.083µs,115.209µs,58.875µs,141.875µs,91.041µs,86.25µs,92.208µs,194.375µs,41.625µs,112.083µs,42.25µs
245.917µs,82.916µs,154µs,54.583µs,178.583µs,127.25µs,84.75µs,65.584µs,141.792µs,63.75µs,91.25µs,49.458µs
132.625µs,83.667µs,177.25µs,57.167µs,195.209µs,77.208µs,118.125µs,61.416µs,140.75µs,62.333µs,82.333µs,44.166µs
127.583µs,73.042µs,183.292µs,45µs,178.167µs,90.917µs,91.542µs,99.458µs,150.75µs,36.916µs,118.667µs,54.125µs
143.459µs,100.042µs,128.417µs,46.125µs,213.083µs,73.834µs,85.167µs,87.417µs,157.625µs,41.625µs,97.625µs,39.791µs
