Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000,Merge Sort - 10000,Quick Sort - 10000
,,,,118.025µs,103.504µs
,,,,96.273µs,113.621µs
,,,,100.53µs,113.142µs
,,,,114.868µs,101.79µs
,,,,88.537µs,108.789µs
,,,,111.847µs,130.514µs
,,,,107.357µs,126.933µs
,,,,118.498µs,130.283µs
,,,,115.434µs,121.908µs
,,,,112.33µs,123.955µs
,,,,92.951µs,124.935µs
,,,,98.235µs,120.24µs
,,,,106.25µs,126.033µs
,,,,113.345µs,154.333µs
,,,,120.564µs,142.358µs
,,,,118.758µs,142.17µs
,,,,138.923µs,130.145µs
,,,,130.889µs,125.83µs
,,,,156.868µs,117.219µs
,,,,140.209µs,127.359µs
,,,,130.815µs,120.707µs
,,,,133.219µs,127.761µs
,,,,159.311µs,113.621µs
,,,,469.133µs,92.6µs
,,,,235.398µs,131.966µs
,,,,206.402µs,111.416µs
,,,,221.498µs,111.7µs
,,,,206.26µs,113.89µs
,,,,288.245µs,117.819µs
,,,,291.635µs,116.361µs
,,,,220.508µs,116.476µs
,,,,1.180927ms,112.188µs
,,,,465.382µs,96.855µs
,,,,578.04µs,119.997µs
,,,,396.58µs,117.948µs
,,,,217.501µs,137.917µs
,,,,250.503µs,132.762µs
,,,,162.138µs,136.155µs
,,,,252.749µs,158.414µs
,,,,297.219µs,131.384µs
,,,,137.331µs,149.212µs
,,,,145.83µs,146.554µs
,,,,152.845µs,142.048µs
,,,,120.951µs,125.27µs
,,,,113.69µs,140.292µs
,,,,110.006µs,173.174µs
,,,,119.009µs,170.37µs
,,,,135.48µs,174.285µs
,,,,113.542µs,182.928µs
,,,,133.558µs,203.455µs
,,,,125.402µs,682.916µs
,,,,117.242µs,369.933µs
,,,,131.929µs,628.698µs
,,,,143.044µs,260.472µs
,,,,132.598µs,163.018µs
,,,,131.911µs,398.996µs
,,,,137.07µs,197.124µs
,,,,126.509µs,193.771µs
,,,,138.933µs,177.903µs
,,,,137.179µs,177.438µs
,,,,111.382µs,145.537µs
,,,,155.295µs,122.781µs
,,,,143.069µs,170.534µs
,,,,133.865µs,148.832µs
,,,,140.268µs,136.165µs
,,,,134.072µs,161.454µs
,,,,150.485µs,123.488µs
,,,,149.128µs,133.455µs
,,,,140.949µs,128.255µs
,,,,144.099µs,121.496µs
,,,,146.669µs,142.106µs
,,,,135.271µs,374.973µs
,,,,106.382µs,133.735µs
,,,,115.603µs,132.671µs
,,,,128.423µs,120.404µs
,,,,141.724µs,127.11µs
,,,,123.667µs,123.264µs
,,,,101.545µs,130.917µs
,,,,116.97µs,132.26µs
,,,,127.448µs,133.459µs
,,,,128.453µs,126.066µs
,,,,103.325µs,151.445µs
,,,,113.684µs,140.963µs
,,,,118.287µs,112.269µs
,,,,127.962µs,126.286µs
,,,,124.247µs,168.773µs
,,,,131.937µs,131.285µs
,,,,166.88µs,119.678µs
,,,,112.434µs,129.569µs
,,,,111.735µs,142.945µs
,,,,130.551µs,154.399µs
,,,,120.959µs,130.681µs
,,,,116.057µs,138.518µs
,,,,110.879µs,118.372µs
,,,,114.507µs,111.006µs
,,,,122.999µs,124.919µs
,,,,120.742µs,124.026µs
,,,,125.086µs,143.414µs
,,,,129.628µs,659.385µs
,,,,126.468µs,101.335µs
,,,,125.635µs,126.492µs
,,,,107.19µs,114.874µs
,,,,132.202µs,119.47µs
,,,,116.317µs,132.523µs
,,,,117.128µs,120.545µs
,,,,107.582µs,112.105µs
,,,,141.91µs,125.418µs
,,,,136.792µs,198.661µs
,,,,156.108µs,136.642µs
,,,,176.411µs,123.258µs
,,,,140.874µs,95.535µs
,,,,134.426µs,111.066µs
,,,,148.066µs,118.821µs
,,,,147.869µs,120.23µs
,,,,137.65µs,106.421µs
,,,,168.639µs,116.76µs
,,,,140.798µs,112.72µs
,,,,243.376µs,120.152µs
,,,,163.811µs,114.831µs
,,,,141.683µs,110.86µs
,,,,168.737µs,116.897µs
,,,,182.765µs,121.431µs
,,,,180.364µs,116.404µs
,,,,151.702µs,105.001µs
,,,,198.5µs,109.465µs
,,,,758.675µs,121.594µs
,,,,550.051µs,142.38µs
,,,,880.509µs,124.724µs
,,,,1.015115ms,113.619µs
,,,,192.676µs,139.194µs
,,,,151.626µs,153.988µs
,,,,152.108µs,140.641µs
,,,,150.614µs,182.111µs
,,,,143.457µs,150.728µs
,,,,132.612µs,143.147µs
,,,,122.853µs,343.732µs
,,,,144.09µs,856.732µs
,,,,124.261µs,321.843µs
,,,,113.136µs,1.255747ms
,,,,127.924µs,249.873µs
,,,,136.675µs,178.173µs
,,,,135.177µs,188.846µs
,,,,114.535µs,255.924µs
,,,,140.451µs,581.669µs
,,,,123.373µs,225.066µs
,,,,133.595µs,231.731µs
,,,,136.423µs,174.572µs
,,,,123.821µs,450.376µs
,,,,139.815µs,167.15µs
,,,,120.477µs,161.91µs
,,,,131.846µs,187.117µs
,,,,139.452µs,148.512µs
,,,,334.087µs,134.372µs
,,,,135.009µs,146.055µs
,,,,112.648µs,130.665µs
,,,,131.542µs,152.414µs
,,,,147.493µs,120.837µs
,,,,135.231µs,128.696µs
,,,,144.925µs,125.028µs
,,,,140.649µs,125.861µs
,,,,168.514µs,142.42µs
,,,,135.802µs,129.587µs
,,,,134.811µs,140.931µs
,,,,140.193µs,131.915µs
,,,,131.615µs,145.802µs
,,,,127.95µs,137.945µs
,,,,130.734µs,126.71µs
,,,,137.432µs,139.069µs
,,,,143.904µs,123.022µs
,,,,132.859µs,128.076µs
,,,,152.938µs,107.399µs
,,,,131.464µs,123.227µs
,,,,102.775µs,136.328µs
,,,,109.03µs,99.059µs
,,,,108.492µs,125.712µs
,,,,110.965µs,153.711µs
,,,,117.891µs,119.925µs
,,,,131.3µs,131.506µs
,,,,121.606µs,118.716µs
,,,,121.688µs,129.102µs
,,,,115.263µs,127.456µs
,,,,115.951µs,179.098µs
,,,,119.619µs,122.407µs
,,,,108.33µs,133.011µs
,,,,117.427µs,135.697µs
,,,,134.288µs,134.904µs
,,,,122.554µs,113.739µs
,,,,127.642µs,130.981µs
,,,,111.711µs,190.742µs
,,,,112.288µs,365.862µs
,,,,123.478µs,159.389µs
,,,,135.178µs,124.007µs
,,,,121.465µs,117.7µs
,,,,133.642µs,99.467µs
,,,,118.826µs,115.402µs
,,,,107.314µs,119.368µs
,,,,122.959µs,106.811µs
,,,,109.821µs,110.554µs
,,,,120.929µs,98.12µs
,,,,120.477µs,88.552µs
,,,,126.201µs,102.684µs
,,,,122.437µs,121.17µs
,,,,142.412µs,104.839µs
,,,,162.339µs,107.995µs
,,,,137.391µs,116.476µs
,,,,148.121µs,113.604µs
,,,,140.838µs,120.651µs
,,,,148.383µs,119.77µs
,,,,152.764µs,111.928µs
,,,,145.593µs,131.479µs
,,,,213.382µs,123.547µs
,,,,196.841µs,132.879µs
,,,,171.979µs,123.711µs
,,,,218.692µs,130.416µs
,,,,195.751µs,132.285µs
,,,,444.879µs,151.506µs
,,,,533.366µs,351.892µs
,,,,331.586µs,201.44µs
,,,,292.804µs,170.272µs
,,,,357.385µs,160.44µs
,,,,202.632µs,126.13µs
,,,,149.117µs,179.384µs
,,,,160.162µs,162.171µs
,,,,146.073µs,182.398µs
,,,,186.701µs,296.203µs
,,,,160.659µs,209.458µs
,,,,157.062µs,177.43µs
,,,,173.982µs,176.836µs
,,,,186.602µs,202.706µs
,,,,180.442µs,164.553µs
,,,,143.508µs,188.899µs
,,,,174.515µs,182.21µs
,,,,201.608µs,174.554µs
,,,,120.663µs,243.604µs
,,,,149.601µs,156.434µs
,,,,134.239µs,562.597µs
,,,,138.91µs,274.833µs
,,,,138.674µs,220.387µs
,,,,117.668µs,296.879µs
,,,,114.999µs,459.884µs
,,,,131.286µs,292.284µs
,,,,152.979µs,258.544µs
,,,,137.726µs,186.301µs
,,,,148.281µs,215.064µs
,,,,121.181µs,207.491µs
,,,,139.084µs,130.83µs
,,,,130.699µs,155.105µs
,,,,140.819µs,130.971µs
,,,,533.683µs,124.349µs
,,,,136.647µs,165.752µs
,,,,130.692µs,141.749µs
,,,,136.282µs,144.197µs
,,,,130.461µs,131.361µs
,,,,143.484µs,113.091µs
,,,,119.449µs,124.883µs
,,,,124.207µs,141.559µs
,,,,148.944µs,107.457µs
,,,,156.436µs,132.535µs
,,,,138.592µs,117.162µs
,,,,135.69µs,133.969µs
,,,,137.514µs,124.926µs
,,,,144.288µs,141.817µs
,,,,121.527µs,131.328µs
,,,,136.529µs,129.029µs
,,,,159.088µs,146.586µs
,,,,147.208µs,140.094µs
,,,,151.23µs,135.302µs
,,,,140.869µs,129.448µs
,,,,129.565µs,149.763µs
,,,,123.175µs,375.052µs
,,,,126.995µs,160.411µs
,,,,143.943µs,146.846µs
,,,,123.139µs,132.535µs
,,,,114.84µs,133.297µs
,,,,109.6µs,122.608µs
,,,,109.017µs,121.433µs
,,,,103.839µs,127.607µs
,,,,115.341µs,123.359µs
,,,,101.761µs,131.85µs
,,,,117.487µs,130.668µs
,,,,114.006µs,113.886µs
,,,,103.825µs,132.687µs
,,,,102.024µs,119.286µs
,,,,115.584µs,123.814µs
,,,,126.086µs,132.451µs
,,,,111.601µs,121.572µs
,,,,105.857µs,107.537µs
,,,,107.216µs,127.683µs
,,,,111.449µs,124.893µs
,,,,107.334µs,119.89µs
,,,,108.905µs,137.934µs
,,,,106.962µs,160.761µs
,,,,120.314µs,156.448µs
,,,,130.517µs,115.857µs
,,,,120.862µs,100.676µs
,,,,115.05µs,118.5µs
,,,,114.373µs,116.236µs
,,,,116.715µs,118.634µs
,,,,411.765µs,134.433µs
,,,,273.699µs,129.774µs
,,,,132.797µs,119.443µs
,,,,148.118µs,119.589µs
,,,,182.011µs,117.239µs
,,,,185.637µs,113.791µs
,,,,171.262µs,132.698µs
,,,,236.771µs,126.354µs
,,,,180.261µs,136.174µs
,,,,158.586µs,124.299µs
,,,,157.187µs,106.905µs
,,,,344.423µs,130.33µs
,,,,256.237µs,161.27µs
,,,,191.404µs,133.877µs
,,,,175.204µs,132.539µs
,,,,158.029µs,162.899µs
,,,,115.971µs,149.775µs
,,,,172.434µs,126.584µs
,,,,218.215µs,137.916µs
,,,,292.634µs,138.897µs
,,,,170.544µs,145.153µs
,,,,1.507725ms,139.61µs
,,,,411.651µs,123.737µs
,,,,222.906µs,129.564µs
,,,,196.409µs,203.091µs
,,,,151.715µs,193.937µs
,,,,163.15µs,164.831µs
,,,,157.319µs,171.362µs
,,,,146.71µs,306.24µs
,,,,155.563µs,1.229537ms
,,,,160.106µs,1.859017ms
,,,,166.025µs,274.162µs
,,,,130.316µs,162.76µs
,,,,139.884µs,158.674µs
,,,,128.662µs,155.062µs
,,,,160.442µs,115.597µs
,,,,133.293µs,149.475µs
,,,,141.045µs,143.42µs
,,,,131.74µs,141.891µs
,,,,126.923µs,162.932µs
,,,,148.256µs,143.367µs
,,,,124.827µs,157.737µs
,,,,159.174µs,144.092µs
,,,,125.461µs,103.879µs
,,,,128.263µs,126.472µs
,,,,129.235µs,155.608µs
,,,,138.61µs,132.045µs
,,,,164.877µs,145.329µs
,,,,202.295µs,153.272µs
,,,,140.288µs,138.894µs
,,,,179.627µs,181.448µs
,,,,155.723µs,168.304µs
,,,,148.602µs,137.424µs
,,,,146.24µs,133.796µs
,,,,127.637µs,157.885µs
,,,,137.568µs,158.6µs
,,,,137.779µs,157.347µs
,,,,151.392µs,167.398µs
,,,,144.77µs,128.607µs
,,,,143.08µs,161.533µs
,,,,138.141µs,138.729µs
,,,,164.43µs,195.82µs
,,,,133.701µs,141.195µs
,,,,138.798µs,146.112µs
,,,,128.463µs,140.835µs
,,,,103.868µs,117.099µs
,,,,107.925µs,153.712µs
,,,,137.826µs,139.849µs
,,,,115.68µs,116.736µs
,,,,120.343µs,118.664µs
,,,,126.885µs,120.749µs
,,,,119.768µs,179.702µs
,,,,129.341µs,121.31µs
,,,,108.794µs,110.832µs
,,,,111.145µs,115.917µs
,,,,128.611µs,111.54µs
,,,,107.317µs,108.03µs
,,,,105.754µs,124.934µs
,,,,115.403µs,114.045µs
,,,,127.521µs,109.838µs
,,,,137.383µs,105.118µs
,,,,124.437µs,114.276µs
,,,,126.029µs,451.03µs
,,,,122.468µs,130.706µs
,,,,128.908µs,126.365µs
,,,,122.246µs,109.546µs
,,,,129.356µs,110.776µs
,,,,116.974µs,116.207µs
,,,,110.974µs,96.344µs
,,,,118.534µs,116.841µs
,,,,110.021µs,106.56µs
,,,,137.662µs,109.841µs
,,,,120.126µs,112.124µs
,,,,132.979µs,110.581µs
,,,,171.549µs,125.391µs
,,,,123.14µs,113.676µs
,,,,131.192µs,115.75µs
,,,,137.311µs,113.969µs
,,,,138.504µs,117.542µs
,,,,138.813µs,135.05µs
,,,,178.496µs,126.898µs
,,,,147.338µs,125.328µs
,,,,160.423µs,162.827µs
,,,,183.996µs,129.135µs
,,,,179.746µs,123.813µs
,,,,170.484µs,126.758µs
,,,,191.504µs,131.642µs
,,,,207.762µs,138.054µs
,,,,243.159µs,138.239µs
,,,,827.09µs,130.155µs
,,,,415.406µs,162.044µs
,,,,290.792µs,150.752µs
,,,,317.556µs,195.783µs
,,,,286.466µs,146.783µs
,,,,529.193µs,175.736µs
,,,,201.289µs,246.246µs
,,,,171.725µs,248.834µs
,,,,196.674µs,263.992µs
,,,,155.143µs,220.003µs
,,,,156.413µs,355.864µs
,,,,156.147µs,383.676µs
,,,,150.046µs,969.664µs
,,,,124.389µs,737.698µs
,,,,143.429µs,368.023µs
,,,,128.377µs,292.465µs
,,,,124.282µs,267.465µs
,,,,144.017µs,201.464µs
,,,,126.11µs,250.845µs
,,,,128.57µs,181.955µs
,,,,122.03µs,144.526µs
,,,,171.475µs,137.544µs
,,,,131.346µs,138.379µs
,,,,123.61µs,144.891µs
,,,,142.186µs,301.132µs
,,,,128.419µs,234.308µs
,,,,128.387µs,172.606µs
,,,,144.35µs,146.087µs
,,,,119.429µs,135.436µs
,,,,127.643µs,146.14µs
,,,,123.308µs,112.123µs
,,,,130.218µs,125.094µs
,,,,123.852µs,124.266µs
,,,,114.968µs,139.99µs
,,,,121.093µs,136.658µs
,,,,112.293µs,124.228µs
,,,,117.23µs,136.486µs
,,,,146.701µs,99.959µs
,,,,145.582µs,120.461µs
,,,,148.427µs,110.174µs
,,,,171.571µs,124.763µs
,,,,125.124µs,104.876µs
,,,,129.621µs,109.769µs
,,,,494.384µs,140.478µs
,,,,144.792µs,138.608µs
,,,,140.978µs,147.741µs
,,,,134.073µs,141.118µs
,,,,130.709µs,137.655µs
,,,,126.761µs,137.182µs
,,,,116.973µs,150.12µs
,,,,127.038µs,128.349µs
,,,,172.6µs,130.279µs
,,,,122.529µs,141.863µs
,,,,110.007µs,120.051µs
,,,,122.504µs,132.907µs
,,,,113.395µs,132.099µs
,,,,112.065µs,141.832µs
,,,,110.182µs,138.565µs
,,,,121.239µs,127.261µs
,,,,104.855µs,129.853µs
,,,,115.123µs,132.334µs
,,,,113.202µs,129.04µs
,,,,114.774µs,122.92µs
,,,,110.72µs,177.754µs
,,,,110.776µs,116.557µs
,,,,119.212µs,130.074µs
,,,,107.339µs,114.015µs
,,,,113.766µs,111.112µs
,,,,115.584µs,116.001µs
,,,,101.226µs,114.291µs
,,,,125.468µs,105.84µs
,,,,113.601µs,127.867µs
,,,,152.151µs,112.893µs
,,,,118.099µs,108.241µs
,,,,116.472µs,113.833µs
,,,,118.533µs,116.16µs
,,,,119.68µs,109.237µs
,,,,126.605µs,110.664µs
,,,,129.529µs,115.441µs
,,,,172.316µs,109.068µs
,,,,146.24µs,106.309µs
,,,,127.274µs,142.693µs
,,,,152.053µs,143.171µs
,,,,141.692µs,122.313µs
,,,,148.771µs,153.268µs
,,,,166.898µs,119.968µs
,,,,145.138µs,142.282µs
,,,,134.724µs,154.225µs
,,,,143.495µs,177.969µs
,,,,151.112µs,168.858µs
,,,,186.457µs,152.111µs
,,,,168.674µs,168.533µs
,,,,200.857µs,783.817µs
,,,,231.128µs,473.819µs
,,,,280.508µs,675.108µs
,,,,202.552µs,621.902µs
,,,,198.773µs,203.913µs
,,,,212.884µs,195.756µs
,,,,178.971µs,219.835µs
,,,,228.526µs,173.157µs
,,,,805.07µs,185.458µs
,,,,548.624µs,160.906µs
,,,,596.043µs,198.578µs
,,,,288.226µs,182.616µs
,,,,218.862µs,210.171µs
,,,,171.399µs,218.333µs
,,,,164.047µs,152.799µs
,,,,132.714µs,212.838µs
,,,,131µs,207.603µs
,,,,130.818µs,171.276µs
,,,,133.08µs,148.552µs
,,,,124.595µs,145.973µs
,,,,125.102µs,126.137µs
,,,,133.692µs,151.967µs
,,,,133.1µs,123.938µs
,,,,128.145µs,129.157µs
,,,,123.2µs,125.863µs
,,,,118.255µs,127.661µs
,,,,120.005µs,122.576µs
,,,,145.767µs,136.82µs
,,,,123.839µs,131.335µs
,,,,114.505µs,115.046µs
,,,,149.576µs,154.149µs
,,,,135.56µs,115.204µs
,,,,124.381µs,132.959µs
,,,,106.352µs,138.403µs
,,,,130.839µs,481.72µs
,,,,146.279µs,158.511µs
,,,,136.978µs,122.738µs
,,,,146.878µs,127.732µs
,,,,150.001µs,124.933µs
,,,,145.951µs,141.348µs
,,,,133.611µs,160.439µs
,,,,159.674µs,147.701µs
,,,,146.529µs,144.627µs
,,,,149.071µs,132.418µs
,,,,130.66µs,161.858µs
,,,,122.531µs,129.436µs
,,,,124.35µs,126.344µs
,,,,118.684µs,122.467µs
,,,,115.532µs,116.148µs
,,,,168.829µs,139.04µs
,,,,120.602µs,119.016µs
,,,,128.057µs,123.682µs
,,,,137.503µs,121.27µs
,,,,125.845µs,123.629µs
,,,,101.004µs,122.105µs
,,,,109.843µs,123.586µs
,,,,131.299µs,113.342µs
,,,,150.499µs,109.725µs
,,,,112.818µs,131.631µs
,,,,269.152µs,127.508µs
,,,,207.294µs,127.377µs
,,,,125.639µs,125.739µs
,,,,128.225µs,94.56µs
,,,,136.891µs,119.643µs
,,,,111.645µs,161.765µs
,,,,102.591µs,133.697µs
,,,,106.06µs,113.705µs
,,,,130.921µs,122.493µs
,,,,142.955µs,106.495µs
,,,,112.684µs,111.298µs
,,,,113.803µs,110.254µs
,,,,96.465µs,95.954µs
,,,,121.815µs,95.022µs
,,,,110.235µs,91.548µs
,,,,111.429µs,99.846µs
,,,,127.147µs,121.529µs
,,,,121.779µs,112.519µs
,,,,118.368µs,121.495µs
,,,,116.657µs,129.014µs
,,,,108.214µs,128.447µs
,,,,104.605µs,125.729µs
,,,,108.911µs,124.906µs
,,,,107.002µs,125.84µs
,,,,139.829µs,165.048µs
,,,,139.031µs,162.476µs
,,,,130.041µs,159.749µs
,,,,131.331µs,177.694µs
,,,,164.792µs,166.482µs
,,,,138.907µs,177.063µs
,,,,158.282µs,169.033µs
,,,,146.689µs,135.269µs
,,,,135.967µs,162.342µs
,,,,200.178µs,116.853µs
,,,,673.211µs,168.902µs
,,,,319.628µs,197.693µs
,,,,233.108µs,221.847µs
,,,,221.031µs,214.335µs
,,,,398.27µs,148.639µs
,,,,967.268µs,174.316µs
,,,,309.173µs,266.228µs
,,,,444.709µs,370.425µs
,,,,361.111µs,220.959µs
,,,,499.01µs,250.247µs
,,,,218.569µs,276.22µs
,,,,193.418µs,202.617µs
,,,,157.288µs,780.49µs
,,,,175.184µs,289.664µs
,,,,200.426µs,276.606µs
,,,,142.328µs,154.104µs
,,,,157.609µs,149.744µs
,,,,148.68µs,172.082µs
,,,,137.081µs,138.565µs
,,,,141.685µs,101.37µs
,,,,129.137µs,156.587µs
,,,,128.162µs,134.776µs
,,,,130.634µs,126.902µs
,,,,122.111µs,140.285µs
,,,,116.155µs,142.362µs
,,,,135.724µs,143.936µs
,,,,118.442µs,130.427µs
,,,,134.928µs,125.763µs
,,,,131.375µs,122µs
,,,,119.532µs,150.232µs
,,,,138.447µs,132.584µs
,,,,116.634µs,122.177µs
,,,,127.541µs,122.989µs
,,,,114.869µs,133.829µs
,,,,122.542µs,136.449µs
,,,,146.714µs,118.009µs
,,,,118.2µs,168.51µs
,,,,129.908µs,144.006µs
,,,,139.476µs,139.282µs
,,,,128.953µs,141.63µs
,,,,107.927µs,133.244µs
,,,,117.589µs,144.858µs
,,,,115.679µs,140.152µs
,,,,134.703µs,123.713µs
,,,,134.416µs,133.874µs
,,,,128.757µs,125.804µs
,,,,130.498µs,153.045µs
,,,,125.829µs,135.291µs
,,,,128.94µs,129.272µs
,,,,124.976µs,116.968µs
,,,,143.884µs,128.877µs
,,,,151.645µs,102.592µs
,,,,136.202µs,125.505µs
,,,,131.627µs,129.255µs
,,,,147.561µs,128.571µs
,,,,142.642µs,121.98µs
,,,,142.435µs,126.001µs
,,,,145.338µs,132.695µs
,,,,139.015µs,131.29µs
,,,,133.187µs,121.353µs
,,,,123.366µs,104.482µs
,,,,129.206µs,166.966µs
,,,,178.871µs,110.86µs
,,,,139.856µs,109.52µs
,,,,108.034µs,102.526µs
,,,,109.442µs,115.207µs
,,,,119.129µs,118.037µs
,,,,114.542µs,106.404µs
,,,,113.412µs,112.384µs
,,,,100.062µs,103.855µs
,,,,116.812µs,105.869µs
,,,,108.987µs,122.497µs
,,,,103.122µs,114.435µs
,,,,111.409µs,119.119µs
,,,,113.829µs,127.384µs
,,,,110.715µs,125.178µs
,,,,108.393µs,108.387µs
,,,,114.262µs,113.111µs
,,,,132.436µs,117.09µs
,,,,115.276µs,117.205µs
,,,,106.485µs,134.386µs
,,,,127.89µs,112.206µs
,,,,108.912µs,117.908µs
,,,,115.569µs,118.851µs
,,,,127.987µs,111.812µs
,,,,131.305µs,102.574µs
,,,,138.127µs,107.089µs
,,,,150.987µs,99.333µs
,,,,159.455µs,108.715µs
,,,,183.289µs,119.638µs
,,,,183.32µs,116.762µs
,,,,167.248µs,123.004µs
,,,,154.145µs,129.826µs
,,,,138.468µs,128.633µs
,,,,886.883µs,145.187µs
,,,,430.531µs,147.58µs
,,,,272.463µs,131.196µs
,,,,219.062µs,127.237µs
,,,,222.456µs,155.848µs
,,,,175.196µs,134.068µs
,,,,168.304µs,113.585µs
,,,,165.099µs,147.705µs
,,,,214.592µs,116.885µs
,,,,704.076µs,144.329µs
,,,,173.832µs,169.591µs
,,,,179.2µs,160.843µs
,,,,196.039µs,170.99µs
,,,,163.555µs,223.294µs
,,,,150.353µs,190.831µs
,,,,158.714µs,216.969µs
,,,,142.498µs,197.815µs
,,,,140.183µs,198.096µs
,,,,247.684µs,193.987µs
,,,,168.291µs,275.864µs
,,,,156.661µs,1.066598ms
,,,,130.205µs,541.689µs
,,,,158.388µs,291.868µs
,,,,130.67µs,682.177µs
,,,,133.343µs,257.68µs
,,,,137.216µs,177.559µs
,,,,137.476µs,155.304µs
,,,,122.202µs,131.746µs
,,,,122.121µs,130.389µs
,,,,136.915µs,157.353µs
,,,,132.058µs,151.594µs
,,,,147.814µs,139.097µs
,,,,131.247µs,151.27µs
,,,,143.29µs,148.655µs
,,,,128.151µs,131.334µs
,,,,119.191µs,111.907µs
,,,,108.978µs,141.381µs
,,,,124.091µs,139.576µs
,,,,149.271µs,122.433µs
,,,,135.162µs,129.588µs
,,,,130.68µs,122.809µs
,,,,123.427µs,148.143µs
,,,,131.725µs,466.745µs
,,,,166.904µs,255.407µs
,,,,155.96µs,247.132µs
,,,,136.355µs,229.058µs
,,,,121.843µs,307.245µs
,,,,135.539µs,262.351µs
,,,,134.98µs,249.603µs
,,,,132.278µs,265.983µs
,,,,132.045µs,221.521µs
,,,,127.263µs,244.179µs
,,,,130.211µs,266.558µs
,,,,139.384µs,298.617µs
,,,,135.138µs,285.897µs
,,,,128.125µs,307.551µs
,,,,151.281µs,278.349µs
,,,,114.755µs,290.77µs
,,,,122.842µs,266.198µs
,,,,106.349µs,218.326µs
,,,,118.328µs,259.036µs
,,,,110.797µs,256.014µs
,,,,135.082µs,252.359µs
,,,,110.294µs,243.656µs
,,,,114.518µs,261.712µs
,,,,121.468µs,275.906µs
,,,,120.78µs,278.439µs
,,,,137.991µs,257.052µs
,,,,137.733µs,260.993µs
,,,,124.906µs,281.323µs
,,,,125.812µs,332.307µs
,,,,130.035µs,501.445µs
,,,,111.519µs,488.302µs
,,,,112.757µs,521.373µs
,,,,109.914µs,646.232µs
,,,,110.743µs,569.332µs
,,,,108.744µs,592.444µs
,,,,113.123µs,836.093µs
,,,,128.724µs,448.255µs
,,,,129.547µs,383.107µs
,,,,102.587µs,383.862µs
,,,,108.357µs,456.811µs
,,,,118.282µs,404.94µs
,,,,163.31µs,330.823µs
,,,,139.237µs,310.324µs
,,,,135.579µs,272.415µs
,,,,134.785µs,277.521µs
,,,,121.313µs,283.866µs
,,,,136.694µs,229.925µs
,,,,163.465µs,264.309µs
,,,,137.548µs,282.882µs
,,,,148.151µs,253.16µs
,,,,143.966µs,261.632µs
,,,,247.235µs,209.315µs
,,,,194.69µs,263.561µs
,,,,162.106µs,260.8µs
,,,,205.385µs,313.365µs
,,,,263.889µs,259.441µs
,,,,263.48µs,241.26µs
,,,,1.219957ms,276.998µs
,,,,348.113µs,300.604µs
,,,,279.125µs,293.67µs
,,,,238.993µs,277.655µs
,,,,452.534µs,275.737µs
,,,,299.112µs,251.007µs
,,,,164.344µs,246.455µs
,,,,157.452µs,258.168µs
,,,,191.502µs,246.893µs
,,,,170.895µs,223.145µs
,,,,148.36µs,254.745µs
,,,,159.769µs,233.421µs
,,,,135.909µs,232.386µs
,,,,119.665µs,286.032µs
,,,,130.503µs,277.515µs
,,,,150.606µs,451.105µs
,,,,120.029µs,330.933µs
,,,,123.159µs,383.694µs
,,,,121.279µs,372.584µs
,,,,110.065µs,1.032444ms
,,,,108.229µs,893.674µs
,,,,137.392µs,643.334µs
,,,,367.41µs,399.777µs
,,,,211.403µs,411.539µs
,,,,137.782µs,984.551µs
,,,,175.442µs,525.069µs
,,,,164.383µs,325.624µs
,,,,165.71µs,279.027µs
,,,,141.912µs,298.541µs
,,,,143.914µs,247.251µs
,,,,143.403µs,292.19µs
,,,,141.258µs,287.414µs
,,,,134.174µs,273.155µs
,,,,151.591µs,338.557µs
,,,,144.22µs,236.279µs
,,,,118.125µs,251.335µs
,,,,159.769µs,320.485µs
,,,,147.817µs,287.404µs
,,,,148.13µs,247.648µs
,,,,132.566µs,264.319µs
,,,,125.674µs,269.209µs
,,,,128.105µs,283.903µs
,,,,132.355µs,272.844µs
,,,,128.523µs,280.958µs
,,,,134.275µs,260.648µs
,,,,130.357µs,239.915µs
,,,,113.578µs,242.158µs
,,,,121.95µs,269.335µs
,,,,135.359µs,235.853µs
,,,,122.121µs,227.574µs
,,,,122.88µs,234.025µs
,,,,158.341µs,245.506µs
,,,,121.543µs,243.697µs
,,,,109.416µs,274.569µs
,,,,109.69µs,260.49µs
,,,,114.13µs,365.135µs
,,,,114.383µs,281.48µs
,,,,126.245µs,267.439µs
,,,,114.146µs,258.589µs
,,,,112.871µs,249.955µs
,,,,128.569µs,284.701µs
,,,,123.491µs,319.049µs
,,,,115.719µs,1.145144ms
,,,,137.044µs,725.556µs
,,,,126.304µs,1.463472ms
,,,,109.608µs,585.032µs
,,,,99.349µs,905.461µs
,,,,126.045µs,336.878µs
,,,,107.701µs,376.08µs
,,,,112.725µs,313.346µs
,,,,105.79µs,297.598µs
,,,,107.804µs,279.207µs
,,,,115.837µs,276.384µs
,,,,111.371µs,263.459µs
,,,,108.973µs,305.149µs
,,,,110.681µs,302.1µs
,,,,116.672µs,300.205µs
,,,,111.953µs,278.895µs
,,,,110.808µs,273.958µs
,,,,111.126µs,296.221µs
,,,,114.238µs,256.411µs
,,,,124.208µs,258.457µs
,,,,157.145µs,266.077µs
,,,,102.516µs,250.87µs
,,,,124.192µs,249.997µs
