Merge Sort - 10,Quick Sort - 10,Merge Sort - 100,Quick Sort - 100,Merge Sort - 1000,Quick Sort - 1000
,,,,152.643µs,196.127µs
,,,,134.895µs,195.254µs
,,,,137.334µs,236.336µs
,,,,131.012µs,192.074µs
,,,,113.643µs,209.636µs
,,,,116.695µs,817.682µs
,,,,150.795µs,324.985µs
,,,,114.352µs,221.822µs
,,,,127.041µs,231.306µs
,,,,132.354µs,189.008µs
,,,,117.113µs,191.008µs
,,,,119.289µs,195.146µs
,,,,127.025µs,176.405µs
,,,,109.7µs,231.419µs
,,,,125.296µs,182.254µs
,,,,109.575µs,183.43µs
,,,,142.991µs,165.787µs
,,,,125.628µs,226.422µs
,,,,108.92µs,150.586µs
,,,,113.128µs,137.757µs
,,,,134.176µs,122.367µs
,,,,120.653µs,162.942µs
,,,,131.256µs,127.04µs
,,,,114.575µs,142.693µs
,,,,111.977µs,146.392µs
,,,,136.125µs,166.478µs
,,,,126.404µs,139.756µs
,,,,130.654µs,170.986µs
,,,,125.514µs,154.085µs
,,,,117.079µs,294.093µs
,,,,138.692µs,194.016µs
,,,,121.807µs,135.053µs
,,,,114.294µs,120.416µs
,,,,133.862µs,133.795µs
,,,,419.682µs,143.18µs
,,,,179.704µs,121.876µs
,,,,170.314µs,167.151µs
,,,,139.537µs,151.217µs
,,,,145.989µs,154.354µs
,,,,120.646µs,136.143µs
,,,,143.468µs,130.9µs
,,,,162.43µs,128.572µs
,,,,186.452µs,145.607µs
,,,,167.027µs,136.237µs
,,,,152.805µs,135.683µs
,,,,142.737µs,170.183µs
,,,,157.843µs,133.459µs
,,,,134.366µs,124.557µs
,,,,158.422µs,148.667µs
,,,,226.632µs,136.238µs
,,,,213.916µs,128.643µs
,,,,228.872µs,131.289µs
,,,,179.261µs,105.285µs
,,,,188.382µs,127.108µs
,,,,175.109µs,140.64µs
,,,,172.607µs,132.368µs
,,,,193.492µs,163.829µs
,,,,198.956µs,144.815µs
,,,,194.613µs,133.361µs
,,,,153.07µs,141.529µs
,,,,725.578µs,162.288µs
,,,,335.629µs,171.467µs
,,,,191.659µs,741.756µs
,,,,128.29µs,355.504µs
,,,,159.104µs,191.339µs
,,,,187.854µs,203.001µs
,,,,175.903µs,244.05µs
,,,,142.327µs,156.692µs
,,,,124.807µs,143.969µs
,,,,147.487µs,153.216µs
,,,,115.202µs,150.911µs
,,,,131.371µs,166.848µs
